position,target,left_distance,right_distance,angle,collided
[ 0. 10.],[100.  20.],39.80292510986328,39.80292510986328,0.09966865249116202,False
[10.013587 10.      ],[100.  20.],39.999671936035156,39.999671936035156,0.11067379315493937,False
[11.8712616  10.02815342],[100.  20.],40.02450180053711,40.02450180053711,0.4461309129612675,False
[11.53721428 10.14958954],[100.  20.],40.00259017944336,40.00259017944336,0.901857491488999,False
[11.541152   10.07189751],[100.  20.],40.01103210449219,40.01103210449219,1.3710460525253791,False
[11.5544281  10.06533051],[100.  20.],40.08588790893555,40.08588790893555,1.8388276836479824,False
[11.55714893 10.06402874],[100.  20.],40.27262878417969,40.27262878417969,1.658331317352907,False
[13.13216496  0.26661998],[100.  20.],39.9971923828125,39.9971923828125,1.6269363739109655,False
[ 16.51874352 -11.68720055],[100.  20.],39.74512481689453,39.74512481689453,1.773239486168064,False
[ 18.95383072 -24.77371025],[100.  20.],39.90736770629883,39.90736770629883,1.9213692301676337,False
[ 19.65449333 -27.22912025],[100.  20.],40.02294158935547,40.02294158935547,1.628687207257826,False
[ 25.03000832 -35.65048981],[100.  20.],39.77451705932617,39.77451705932617,1.5913397904670725,False
